,Unnamed: 0,h3_code,total_poi,station_count,Eat_and_Drink,Going_Out-Entertainment,Sights_and_Museums,Transport,Accommodations,Shopping,Business_and_Services,Facilities,Areas_and_Buildings,h3_area,Shopping_percent,Transport_percent,Business_percent,Eat_percent,max_category
824,28841,891f8d7aec7ffff,100,0,6,0,0,0,0,88,6,0,0,High-area,88.0,0.0,6.0,6.0,Shopping
883,30771,891f8d4482bffff,100,0,10,6,0,0,2,34,31,17,0,High-area,34.0,0.0,31.0,10.0,Shopping
9,359,891f8d44a37ffff,100,0,14,0,4,1,0,12,62,7,0,High-area,12.0,1.0,62.0,14.0,Business_and_Services
62,1801,891f8d7a99bffff,100,0,1,0,0,1,1,28,60,9,0,High-area,28.0,1.0,60.0,1.0,Business_and_Services
93,3036,891f8d4599bffff,100,0,10,5,0,2,0,21,55,7,0,High-area,21.0,2.0,55.0,10.0,Business_and_Services
152,5098,891f8d45d47ffff,100,0,0,6,0,0,0,8,80,6,0,High-area,8.0,0.0,80.0,0.0,Business_and_Services
431,14612,891f8d45dabffff,100,0,0,0,0,1,0,9,81,8,1,High-area,9.0,1.0,81.0,0.0,Business_and_Services
652,22462,891f8d44a77ffff,100,0,4,0,0,0,1,13,73,9,0,High-area,13.0,0.0,73.0,4.0,Business_and_Services
670,23196,891f8d4487bffff,100,0,0,0,1,0,0,10,74,15,0,High-area,10.0,0.0,74.0,0.0,Business_and_Services
689,24118,891f8d448cbffff,100,0,5,3,0,0,1,20,57,14,0,High-area,20.0,0.0,57.0,5.0,Business_and_Services
709,24901,891f8d45d63ffff,100,0,0,1,1,3,1,19,68,7,0,High-area,19.0,3.0,68.0,0.0,Business_and_Services
763,26816,891f8d4590fffff,100,0,10,5,0,1,1,27,50,6,0,High-area,27.0,1.0,50.0,10.0,Business_and_Services
861,30013,891f8d44873ffff,100,0,2,1,1,0,3,9,64,20,0,High-area,9.0,0.0,64.0,2.0,Business_and_Services
969,33916,891f8d44bd7ffff,100,0,1,2,0,0,0,3,85,8,1,High-area,3.0,0.0,85.0,1.0,Business_and_Services
985,34419,891f8d459b7ffff,100,0,2,2,0,1,4,16,67,7,1,High-area,16.0,1.0,67.0,2.0,Business_and_Services
989,34723,891f8d451a3ffff,100,0,2,2,0,0,1,11,79,5,0,High-area,11.0,0.0,79.0,2.0,Business_and_Services
1066,37451,891f8d45963ffff,100,0,6,0,1,4,2,32,52,3,0,High-area,32.0,4.0,52.0,6.0,Business_and_Services
1083,38333,891f8d45997ffff,100,0,7,2,1,3,4,22,49,11,1,High-area,22.0,3.0,49.0,7.0,Business_and_Services
1118,39377,891f8d7a5d3ffff,100,0,4,8,2,2,0,8,47,29,0,High-area,8.0,2.0,47.0,4.0,Business_and_Services
1164,41545,891f8d44a4bffff,100,0,5,2,1,0,5,7,62,15,3,High-area,7.0,0.0,62.0,5.0,Business_and_Services
1285,46138,891f8d44c57ffff,100,0,10,5,1,1,4,23,39,15,2,High-area,23.0,1.0,39.0,10.0,Business_and_Services
1340,47964,891f8d45c17ffff,100,0,0,0,0,0,0,5,88,7,0,High-area,5.0,0.0,88.0,0.0,Business_and_Services
1361,48754,891f8d45a17ffff,100,0,0,0,0,0,0,14,80,6,0,High-area,14.0,0.0,80.0,0.0,Business_and_Services
1396,49989,891f8d44a13ffff,100,0,12,3,2,0,0,25,50,8,0,High-area,25.0,0.0,50.0,12.0,Business_and_Services
1420,50653,891f8d7a0b3ffff,100,0,3,1,1,1,0,8,66,20,0,High-area,8.0,1.0,66.0,3.0,Business_and_Services
1425,50838,891f8d459afffff,100,0,12,1,0,1,1,20,52,12,1,High-area,20.0,1.0,52.0,12.0,Business_and_Services
