,Unnamed: 0,h3_code,total_poi,station_count,Eat_and_Drink,Going_Out-Entertainment,Sights_and_Museums,Transport,Accommodations,Shopping,Business_and_Services,Facilities,Areas_and_Buildings,h3_area,Shopping_percent,Transport_percent,Business_percent,Eat_percent,max_category
1081,38212,891f8d7132bffff,99,0,16,0,0,2,1,54,16,10,0,High-area,54.55,2.02,16.16,16.16,Shopping_percent
53,1534,891f8d7a6b3ffff,99,0,3,1,1,1,0,7,74,12,0,High-area,7.07,1.01,74.75,3.03,Business_percent
106,3601,891f8d71237ffff,99,0,2,1,0,2,2,10,76,6,0,High-area,10.1,2.02,76.77,2.02,Business_percent
139,4630,891f8d45d77ffff,99,0,5,2,0,1,1,6,71,13,0,High-area,6.06,1.01,71.72,5.05,Business_percent
145,4862,891f8d44dcfffff,99,0,9,0,0,2,1,14,63,10,0,High-area,14.14,2.02,63.64,9.09,Business_percent
189,6536,891f8d7a45bffff,99,0,11,0,1,3,2,18,52,11,1,High-area,18.18,3.03,52.53,11.11,Business_percent
201,7037,891f8d44a8fffff,99,0,9,2,3,0,0,14,55,16,0,High-area,14.14,0.0,55.56,9.09,Business_percent
204,7205,891f8d45c77ffff,99,0,7,0,0,1,0,31,34,25,1,High-area,31.31,1.01,34.34,7.07,Business_percent
238,8237,891f8d7a553ffff,99,0,1,5,0,2,0,16,48,27,0,High-area,16.16,2.02,48.48,1.01,Business_percent
243,8389,891f8d7b487ffff,99,0,0,1,1,0,1,5,77,14,0,High-area,5.05,0.0,77.78,0.0,Business_percent
306,10245,891f8d44823ffff,99,0,0,1,0,3,0,5,82,7,1,High-area,5.05,3.03,82.83,0.0,Business_percent
313,10485,891f8d4484fffff,99,0,6,0,0,1,0,8,64,20,0,High-area,8.08,1.01,64.65,6.06,Business_percent
316,10598,891f8d7a4cbffff,99,0,2,1,0,0,0,19,63,14,0,High-area,19.19,0.0,63.64,2.02,Business_percent
335,11331,891f8d44a2fffff,99,0,10,3,4,4,1,20,34,22,1,High-area,20.2,4.04,34.34,10.1,Business_percent
339,11532,891f8d44aafffff,99,0,12,2,1,2,0,25,44,13,0,High-area,25.25,2.02,44.44,12.12,Business_percent
368,12381,891f8d7a097ffff,99,0,1,0,0,0,2,6,80,10,0,High-area,6.06,0.0,80.81,1.01,Business_percent
387,12945,891f8d44a8bffff,99,0,3,6,0,2,2,22,55,9,0,High-area,22.22,2.02,55.56,3.03,Business_percent
423,14233,891f8d45da3ffff,99,0,7,0,1,0,1,13,58,18,1,High-area,13.13,0.0,58.59,7.07,Business_percent
483,16455,891f8d44a7bffff,99,0,8,2,0,0,3,7,44,35,0,High-area,7.07,0.0,44.44,8.08,Business_percent
503,17346,891f8d7a5cbffff,99,0,3,2,2,0,0,16,48,27,1,High-area,16.16,0.0,48.48,3.03,Business_percent
563,19442,891f8d7b49bffff,99,0,4,3,1,1,2,11,64,13,0,High-area,11.11,1.01,64.65,4.04,Business_percent
601,20634,891f8d45b87ffff,99,0,6,0,1,4,2,23,51,12,0,High-area,23.23,4.04,51.52,6.06,Business_percent
645,22260,891f8d45c07ffff,99,0,6,4,0,1,0,18,62,7,1,High-area,18.18,1.01,62.63,6.06,Business_percent
683,23879,891f8d44d37ffff,99,0,2,5,0,4,4,8,73,3,0,High-area,8.08,4.04,73.74,2.02,Business_percent
794,27675,891f8d44a33ffff,99,0,11,2,13,0,2,20,50,1,0,High-area,20.2,0.0,50.51,11.11,Business_percent
818,28518,891f8d44a47ffff,99,0,10,5,2,7,7,25,35,8,0,High-area,25.25,7.07,35.35,10.1,Business_percent
821,28681,891f8d44b4bffff,99,0,6,3,1,0,1,20,59,9,0,High-area,20.2,0.0,59.6,6.06,Business_percent
866,30208,891f8d7a587ffff,99,0,3,0,2,0,0,15,65,14,0,High-area,15.15,0.0,65.66,3.03,Business_percent
930,32701,891f8d44e2fffff,99,0,8,3,1,0,2,21,52,9,3,High-area,21.21,0.0,52.53,8.08,Business_percent
953,33507,891f8d4485bffff,99,0,2,1,0,3,0,21,50,21,1,High-area,21.21,3.03,50.51,2.02,Business_percent
1000,35093,891f8d45197ffff,99,0,2,0,0,4,0,25,39,28,1,High-area,25.25,4.04,39.39,2.02,Business_percent
1043,36681,891f8d44117ffff,99,0,6,0,1,0,0,23,37,32,0,High-area,23.23,0.0,37.37,6.06,Business_percent
1090,38549,891f8d45d87ffff,99,0,12,0,2,2,1,26,32,24,0,High-area,26.26,2.02,32.32,12.12,Business_percent
1156,41085,891f8d459a3ffff,99,0,1,1,2,2,0,1,80,12,0,High-area,1.01,2.02,80.81,1.01,Business_percent
1190,42409,891f8d7a417ffff,99,0,10,3,0,2,0,34,41,9,0,High-area,34.34,2.02,41.41,10.1,Business_percent
1196,42571,891f8d44a6bffff,99,0,11,9,1,2,3,12,46,14,1,High-area,12.12,2.02,46.46,11.11,Business_percent
1277,45621,891f8d44863ffff,99,0,0,1,1,0,0,13,64,20,0,High-area,13.13,0.0,64.65,0.0,Business_percent
1282,45911,891f8d7a427ffff,99,0,7,3,0,0,0,35,37,17,0,High-area,35.35,0.0,37.37,7.07,Business_percent
1297,46472,891f8d44a3bffff,99,0,1,0,1,1,1,3,89,3,0,High-area,3.03,1.01,89.9,1.01,Business_percent
1472,52414,891f8d7a54bffff,99,0,6,21,0,1,0,8,59,4,0,High-area,8.08,1.01,59.6,6.06,Business_percent
1521,54158,891f8d7a42fffff,99,0,7,2,2,0,1,14,56,16,1,High-area,14.14,0.0,56.57,7.07,Business_percent
1524,54341,891f8d45d73ffff,99,0,11,2,1,1,0,28,53,3,0,High-area,28.28,1.01,53.54,11.11,Business_percent
1540,54964,891f8d7a487ffff,99,0,1,1,1,2,0,18,55,21,0,High-area,18.18,2.02,55.56,1.01,Business_percent
1544,55124,891f8d44aa7ffff,99,0,6,4,5,0,0,16,57,11,0,High-area,16.16,0.0,57.58,6.06,Business_percent
1590,56517,891f8d45b83ffff,99,0,4,1,0,0,11,14,63,6,0,High-area,14.14,0.0,63.64,4.04,Business_percent
1599,57121,891f8d7a55bffff,99,0,3,4,0,1,2,16,57,16,0,High-area,16.16,1.01,57.58,3.03,Business_percent
1626,58160,891f8d44a87ffff,99,0,0,3,0,0,0,24,50,22,0,High-area,24.24,0.0,50.51,0.0,Business_percent
1695,60433,891f8d7a52fffff,99,0,2,1,0,3,2,19,47,25,0,High-area,19.19,3.03,47.47,2.02,Business_percent
1742,62089,891f8d7a523ffff,99,0,2,1,1,3,1,9,76,6,0,High-area,9.09,3.03,76.77,2.02,Business_percent
1767,63062,891f8d71217ffff,99,0,3,1,0,0,4,5,83,3,0,High-area,5.05,0.0,83.84,3.03,Business_percent
